department_id,department_name,division_id
DEP000,Scale Magnetic Methodologies Dept,DIV001
DEP001,Harness Leading-Edge E-Services Dept,DIV004
DEP002,Transition Robust Vortals Dept,DIV003
DEP003,Strategize Real-Time Partnerships Dept,DIV001
DEP004,Architect Turn-Key E-Tailers Dept,DIV003
DEP005,Visualize Rich Interfaces Dept,DIV004
DEP006,Matrix Ubiquitous Eyeballs Dept,DIV002
DEP007,Morph Global Action-Items Dept,DIV000
DEP008,Extend Back-End Applications Dept,DIV001
DEP009,Brand Wireless Relationships Dept,DIV003
DEP010,Enhance Global Mindshare Dept,DIV002
DEP011,Synthesize E-Business Markets Dept,DIV002
DEP012,Cultivate One-To-One Eyeballs Dept,DIV001
DEP013,Whiteboard Granular Methodologies Dept,DIV001
DEP014,Brand Innovative Architectures Dept,DIV002
