repository_id,repository_name,language
REPO-0,actually-sea-service,TypeScript
REPO-1,resource-network-service,Go
REPO-2,six-part-shake-service,Java
REPO-3,door-relationship-service,Python
REPO-4,ground-natural-service,Go
REPO-5,rise-school-present-service,Go
REPO-6,lead-recently-short-service,Java
REPO-7,meet-half-record-service,Java
REPO-8,put-image-church-service,TypeScript
REPO-9,the-open-wait-service,TypeScript
REPO-10,arm-activity-service,Go
REPO-11,world-close-mouth-service,Python
REPO-12,manager-together-service,TypeScript
REPO-13,true-company-bad-service,Python
REPO-14,million-full-effect-service,Java
REPO-15,fall-apply-movement-service,Java
REPO-16,oil-question-human-service,TypeScript
REPO-17,technology-easy-bar-service,Go
REPO-18,life-suddenly-page-service,Java
REPO-19,behavior-tough-service,Python
